title#shloka_in_sanskrit#transliteration_en#translation_en#word_by_word_en
BG 7.B#ॐ श्री परमात्मने नमः\nअथ सप्तमः अध्यायः ज्ञान विज्ञान योगः#om sri paramatmane namaha\natha saptama adhyayaha jnana vijnana yogaha#Salutations to the most auspicious divine in all. Henceforth, the seventh chapter named Jnana Vijnana Yoga#om sri paramatmane—the most auspicious divine in all; namaha—salutations; atha—henceforth; saptamodhyayaha—seventh chapter; jnana vijnana yogaha—Yoga of knowledge and realisation#
BG 7.1#श्रीभगवान् उवाच |\nमयि आसक्त मनाः पार्थ \nयोगं युञ्जन् मद् आश्रयः |\nअसंशयं समग्रं माम् \nयथा ज्ञास्यसि तत् शृणु ||1||#śhrī bhagavān uvācha\nmayyāsakta-manāḥ pārtha yogaṁ yuñjan mad-āśhrayaḥ\nasanśhayaṁ samagraṁ māṁ yathā jñāsyasi tach chhṛiṇu#The Supreme Lord said: Now listen, O Arjuna, how, with the mind attached exclusively to Me, and surrendering to Me through the practice of bhakti yog, you can know Me completely, free from doubt.#śhrī-bhagavān uvācha—the Supreme Lord said; mayi—to me; āsakta-manāḥ—with the mind attached; pārtha—Arjuna, the son of Pritha; yogam—bhakti yog; yuñjan—practicing; mad-āśhrayaḥ—surrendering to me; asanśhayam—free from doubt; samagram—completely; mām—me; yathā—how; jñāsyasi—you shall know; tat—that; śhṛiṇu—listen#
BG 7.2#ज्ञानं ते अहं स विज्ञानम् \nइदं वक्ष्यामि अशेषतः |\nयत् ज्ञात्वा न इह भूयः \nअन्यत् ज्ञातव्यम् अवशिष्यते ||2||#jñānaṁ te ’haṁ sa-vijñānam idaṁ vakṣhyāmyaśheṣhataḥ\nyaj jñātvā neha bhūyo ’nyaj jñātavyam-avaśhiṣhyate#I shall now reveal unto you fully this knowledge and wisdom, knowing which nothing else remains to be known in this world.#jñānam—knowledge; te—unto you; aham—I; sa—with; vijñānam—wisdom; idam—this; vakṣhyāmi—shall reveal; aśheṣhataḥ—in full; yat—which; jñātvā—having known; na—not; iha—in this world; bhūyaḥ—further; anyat—anything else; jñātavyam—to be known; avaśhiṣhyate—remains#
BG 7.3#मनुष्याणाम् सहस्रेषु \nकश्चित् यतति सिद्धये |\nयतताम् अपि सिद्धानाम् \nकश्चित् माम् वेत्ति तत्त्वतः ||3||#manuṣhyāṇāṁ sahasreṣhu kaśhchid yatati siddhaye\nyatatām api siddhānāṁ kaśhchin māṁ vetti tattvataḥ#Amongst thousands of persons, hardly one strives for perfection; and amongst those who have achieved perfection, hardly one knows Me in truth.#manuṣhyāṇām—of men; sahasreṣhu—out of many thousands; kaśhchit—someone; yatati—strives; siddhaye—for perfection; yatatām—of those who strive; api—even; siddhānām—of those who have achieved perfection; kaśhchit—someone; mām—me; vetti—knows; tattvataḥ—in truth#
BG 7.4#भूमिः आपः अनलः वायुः \nखम् मनः बुद्धिः एव च |\nअहङ्कारः इति इयं मे \nभिन्ना प्रकृतिः अष्टधा ||4||#bhūmir-āpo ’nalo vāyuḥ khaṁ mano buddhir eva cha\nahankāra itīyaṁ me bhinnā prakṛitir aṣhṭadhā#Earth, water, fire, air, space, mind, intellect, and ego—these are eight components of My material energy.#bhūmiḥ—earth; āpaḥ—water; analaḥ—fire; vāyuḥ—air; kham—space; manaḥ—mind; buddhiḥ—intellect; eva—certainly; cha—and; ahankāraḥ—ego; iti—thus; iyam—all these; me—my; bhinnā—divisions; prakṛitiḥ—material energy; aṣhṭadhā—eightfold#
BG 7.5#अपरा इयम् इतः तु अन्याम् \nप्रकृतिम् विद्धि मे पराम् |\nजीव भूताम् महाबाहो \nयया इदं धार्यते जगत् ||5||#apareyam itas tvanyāṁ prakṛitiṁ viddhi me parām\njīva-bhūtāṁ mahā-bāho yayedaṁ dhāryate jagat#Such is My inferior energy. But beyond it, O mighty-armed Arjuna, I have a superior energy. This is the jīva śhakti (the soul energy), which comprises the embodied souls who are the basis of life in this world.#aparā—inferior; iyam—this; itaḥ—besides this; tu—but; anyām—another; prakṛitim—energy; viddhi—know; me—my; parām—superior; jīva-bhūtām—living beings; mahā-bāho—mighty-armed one; yayā—by whom; idam—this; dhāryate—the basis; jagat—the material world#
BG 7.6#एतत् योनीनि भूतानि \nसर्वाणि इति उपधारय |\nअहम् कृत्स्नस्य जगतः \nप्रभवः प्रलयः तथा ||6||#etad-yonīni bhūtāni sarvāṇītyupadhāraya\nahaṁ kṛitsnasya jagataḥ prabhavaḥ pralayas tathā#Know that all living beings are manifested by these two energies of Mine. I am the source of the entire creation, and into Me it again dissolves.#etat yonīni—these two (energies) are the source of; bhūtāni—living beings; sarvāṇi—all; iti—that; upadhāraya—know; aham—I; kṛitsnasya—entire; jagataḥ—creation; prabhavaḥ—the source; pralayaḥ—dissolution; tathā—and#
BG 7.7#मत्त: परतरम् न अन्यत् \nकिञ्चित् अस्ति धनञ्जय |\nमयि सर्वम् इदं प्रोतम् \nसूत्रे मणि गणाः इव ||7||#mattaḥ parataraṁ nānyat kiñchid asti dhanañjaya\nmayi sarvam idaṁ protaṁ sūtre maṇi-gaṇā iva#There is nothing higher than Myself, O Arjun. Everything rests in Me, as beads strung on a thread.#mattaḥ—than me; para-taram—superior; na—not; anyat kiñchit—anything else; asti—there is; dhanañjaya—Arjuna, conqueror of wealth; mayi—in me; sarvam—all; idam—which we see; protam—is strung; sūtre—on a thread; maṇi-gaṇāḥ—beads; iva—like#
BG 7.8#रसः अहम् अप्सु कौन्तेय \nप्रभा अस्मि शशि सूर्ययोः |\nप्रणवः सर्व वेदेषु \nशब्दः खे पौरुषम् नृषु ||8||#raso ’ham apsu kaunteya prabhāsmi śhaśhi-sūryayoḥ\npraṇavaḥ sarva-vedeṣhu śhabdaḥ khe pauruṣhaṁ nṛiṣhu#I am the taste in water, O son of Kunti, and the radiance of the sun and the moon. I am the sacred syllable Om in the Vedic mantras; I am the sound in ether, and the ability in humans.#rasaḥ—taste; aham—I; apsu—in water; kaunteya—Arjuna, the son of Kunti; prabhā—the radiance; asmi—I am; śhaśhi-sūryayoḥ—of the moon and the sun; praṇavaḥ—the sacred syllable Om; sarva—in all; vedeṣhu—Vedas; śhabdaḥ—sound; khe—in ether; pauruṣham—ability; nṛiṣhu—in humans#
BG 7.9#पुण्यः गन्धः पृथिव्याम् च \nतेजः च अस्मि विभावसौ |\nजीवनम् सर्व भूतेषु \nतपः च अस्मि तपस्विषु ||9||#puṇyo gandhaḥ pṛithivyāṁ cha tejaśh chāsmi vibhāvasau\njīvanaṁ sarva-bhūteṣhu tapaśh chāsmi tapasviṣhu#I am the pure fragrance of the Earth, and the brilliance in fire. I am the life-force in all beings, and the penance of the ascetics.#puṇyaḥ—pure; gandhaḥ—fragrance; pṛithivyām—of the earth; cha—and; tejaḥ—brilliance; cha—and; asmi—I am; vibhāvasau—in the fire; jīvanam—the life-force; sarva—in all; bhūteṣhu—beings; tapaḥ—penance; cha—and; asmi—I am; tapasviṣhu—of the ascetics#
BG 7.10#बीजम् माम् सर्व भूतानाम् \nविद्धि पार्थ सनातनम् |\nबुद्धिः बुद्धिमताम् अस्मि \nतेजः तेजस्विनाम् अहम् ||10||#bījaṁ māṁ sarva-bhūtānāṁ viddhi pārtha sanātanam\nbuddhir buddhimatām asmi tejas tejasvinām aham#O Arjuna, know that I am the eternal seed of all beings. I am the intellect of the intelligent, and the splendor of the glorious.#bījam—the seed; mām—me; sarva-bhūtānām—of all beings; viddhi—know; pārtha—Arjuna, the son of Pritha; sanātanam—the eternal; buddhiḥ—intellect; buddhi-matām—of the intelligent; asmi—(I) am; tejaḥ—splendor; tejasvinām—of the splendid; aham—I#
BG 7.11#बलम् बलवताम् च अहम् \nकाम राग विवर्जितम् |\nधर्म अविरुद्धः भूतेषु \nकामः अस्मि भरतर्षभ ||11||#balaṁ balavatāṁ chāhaṁ kāma-rāga-vivarjitam\ndharmāviruddho bhūteṣhu kāmo ’smi bharatarṣhabha#O best of the Bharatas, in strong persons, I am their strength devoid of desire and passion. I am sexual activity not conflicting with virtue or scriptural injunctions.#balam—strength; bala-vatām—of the strong; cha—and; aham—I; kāma—desire; rāga—passion; vivarjitam—devoid of; dharma-aviruddhaḥ—not conflicting with dharma; bhūteṣhu—in all beings; kāmaḥ—sexual activity; asmi—(I) am; bharata-ṛiṣhabha—Arjuna, the best of the Bharats#
BG 7.12#ये च एव सात्त्विकाः भावाः \nराजसाः तामसाः च ये |\nमत्त एव इति तान् विद्धि \nन तु अहम् तेषु ते मयि ||12||#ye chaiva sāttvikā bhāvā rājasās tāmasāśh cha ye\nmatta eveti tān viddhi na tvahaṁ teṣhu te mayi#The three states of material existence—goodness, passion, and ignorance—are manifested by My energy. They are in Me, but I am beyond them.#ye—whatever; cha—and; eva—certainly; sāttvikāḥ—in the mode of goodness; bhāvāḥ—states of material existence; rājasāḥ—in the mode of passion; tāmasāḥ—in the mode of ignorance; cha—and; ye—whatever; mattaḥ—from me; eva—certainly; iti—thus; tān—those; viddhi—know; na—not; tu—but; aham—I; teṣhu—in them; te—they; mayi—in me#
BG 7.13#त्रिभिः गुणमयैः भावैः \nएभिः सर्वम् इदं जगत् |\nमोहितम् न अभिजानाति \nमाम् एभ्यः परम् अव्ययम् ||13||#tribhir guṇa-mayair bhāvair ebhiḥ sarvam idaṁ jagat\nmohitaṁ nābhijānāti māmebhyaḥ param avyayam#Deluded by the three modes of Maya, people in this world are unable to know Me, the imperishable and eternal.#tribhiḥ—by three; guṇa-mayaiḥ—consisting of the modes of material nature; bhāvaiḥ—states; ebhiḥ—all these; sarvam—whole; idam—this; jagat—universe; mohitam—deluded; na—not; abhijānāti—know; mām—me; ebhyaḥ—these; param—the supreme; avyayam—imperishable#
BG 7.14#दैवी हि एषा गुणमयी \nमम माया दुरत्यया |\nमाम् एव ये प्रपद्यन्ते \nमायाम् एताम् तरन्ति ते ||14||#daivī hyeṣhā guṇa-mayī mama māyā duratyayā\nmām eva ye prapadyante māyām etāṁ taranti te#My divine energy Maya, consisting of the three modes of nature, is very difficult to overcome. But those who surrender unto Me cross over it easily.#daivī—divine; hi—certainly; eṣhā—this; guṇa-mayī—consisting of the three modes of nature; mama—my; māyā—God’s external energy; duratyayā—very difficult to overcome; mām—unto me; eva—certainly; ye—who; prapadyante—surrender; māyām etām—this Maya; taranti—cross over; te—they#
BG 7.15#न माम् दुष्कृतिनः मूढाः \nप्रपद्यन्ते नराधमाः |\nमायया अपहृत ज्ञानाः \nआसुरम् भावम् आश्रिताः ||15||#na māṁ duṣhkṛitino mūḍhāḥ prapadyante narādhamāḥ\nmāyayāpahṛita-jñānā āsuraṁ bhāvam āśhritāḥ#Four kinds of people do not surrender unto Me—those ignorant of knowledge, those who lazily follow their lower nature though capable of knowing Me, those with deluded intellect, and those with a demoniac nature.#na—not; mām—unto me; duṣhkṛitinaḥ—the evil doers; mūḍhāḥ—the ignorant; prapadyante—surrender; nara-adhamāḥ—one who lazily follows one’s lower nature; māyayā—by God’s material energy; apahṛita jñānāḥ—those with deluded intellect; āsuram—demoniac; bhāvam—nature; āśhritāḥ—surrender#
BG 7.16#चतुर्विधाः भजन्ते माम् \nजनाः सुकृतिनः अर्जुन |\nआर्तः जिज्ञासुः अर्थार्थी \nज्ञानी च भरतर्षभ ||16||#chatur-vidhā bhajante māṁ janāḥ sukṛitino ’rjuna\nārto jijñāsur arthārthī jñānī cha bharatarṣhabha#O best amongst the Bharatas, four kinds of pious people engage in My devotion—the distressed, the seekers of knowledge, the seekers of worldly possessions, and those who are situated in knowledge.#chatuḥ-vidhāḥ—four kinds; bhajante—worship; mām—me; janāḥ—people; su-kṛitinaḥ—those who are pious; arjuna—Arjun; ārtaḥ—the distressed; jijñāsuḥ—the seekers of knowledge; artha-arthī—the seekers of material gain; jñānī—those who are situated in knowledge; cha—and; bharata-ṛiṣhabha—The best amongst the Bharatas, Arjun#
BG 7.17#तेषाम् ज्ञानी नित्ययुक्तः \nएक भक्तिः विशिष्यते |\nप्रियः हि ज्ञानिनः अत्यर्थम् \nअहम् सः च मम प्रियः ||17||#teṣhāṁ jñānī nitya-yukta eka-bhaktir viśhiṣhyate\npriyo hi jñānino ’tyartham ahaṁ sa cha mama priyaḥ#Amongst these, I consider them to be the highest, who worship Me with knowledge, and are steadfastly and exclusively devoted to Me. I am very dear to them and they are very dear to Me.#teṣhām—amongst these; jñānī—those who are situated in knowledge; nitya-yuktaḥ—ever steadfast; eka—exclusively; bhaktiḥ—devotion; viśhiṣhyate—highest; priyaḥ—very dear; hi—certainly; jñāninaḥ—to the person in knowledge; atyartham—highly; aham—I; saḥ—he; cha—and; mama—to me; priyaḥ—very dear#
BG 7.18#उदाराः सर्व एव एते \nज्ञानी तु आत्मैव मे मतम् |\nआस्थितः सः हि युक्तात्मा \nमाम् एव अनुत्तमाम् गतिम् ||18||#udārāḥ sarva evaite jñānī tvātmaiva me matam\nāsthitaḥ sa hi yuktātmā mām evānuttamāṁ gatim#All those who are devoted to Me are indeed noble. But those in knowledge, who are of steadfast mind, whose intellect is merged in Me, and who have made Me alone as their supreme goal, I consider as My very self.#udārāḥ—noble; sarve—all; eva—indeed; ete—these; jñānī—those in knowledge; tu—but; ātmā eva—my very self; me—my; matam—opinion; āsthitaḥ—situated; saḥ—he; hi—certainly; yukta-ātmā—those who are united; mām—in me; eva—certainly; anuttamām—the supreme; gatim—goal#
BG 7.19#बहूनाम् जन्मनाम् अन्ते \nज्ञानवान् माम् प्रपद्यते |\nवासुदेवः सर्वम् इति \nसः महात्मा सुदुर्लभः ||19||#bahūnāṁ janmanām ante jñānavān māṁ prapadyate\nvāsudevaḥ sarvam iti sa mahātmā su-durlabhaḥ#After many births of spiritual practice, one who is endowed with knowledge surrenders unto Me, knowing Me to be all that is. Such a great soul is indeed very rare.#bahūnām—many; janmanām—births; ante—after; jñāna-vān—one who is endowed with knowledge; mām—unto me; prapadyate—surrenders; vāsudevaḥ—Shree Krishna, the son of Vasudev; sarvam—all; iti—that; saḥ—that; mahā-ātmā—great soul; su-durlabhaḥ—very rare#
BG 7.20#कामैः तैः तैः हृत ज्ञानाः \nप्रपद्यन्ते अन्य देवताः |\nतम् तम् नियमम् आस्थाय \nप्रकृत्या नियताः स्वया ||20||#kāmais tais tair hṛita-jñānāḥ prapadyante ’nya-devatāḥ\ntaṁ taṁ niyamam āsthāya prakṛityā niyatāḥ svayā#Those whose knowledge has been carried away by material desires surrender to the celestial gods. Following their own nature, they worship the devatās, practicing rituals meant to propitiate these celestial personalities.#kāmaiḥ—by material desires; taiḥ taiḥ—by various; hṛita-jñānāḥ—whose knowledge has been carried away; prapadyante—surrender; anya—to other; devatāḥ—celestial gods; tam tam—the various; niyamam—rules and regulations; āsthāya—following; prakṛityā—by nature; niyatāḥ—controlled; svayā—by their own#
BG 7.21#यः यः याम् याम् तनुम् भक्तः \nश्रद्धया अर्चितुम् इच्छति |\nतस्य तस्य अचलाम् श्रद्धाम् \nताम् एव विदधामि अहम् ||21||#yo yo yāṁ yāṁ tanuṁ bhaktaḥ śhraddhayārchitum ichchhati\ntasya tasyāchalāṁ śhraddhāṁ tām eva vidadhāmyaham#Whatever celestial form a devotee seeks to worship with faith, I steady the faith of such a devotee in that form.#yaḥ yaḥ—whoever; yām yām—whichever; tanum—form; bhaktaḥ—devotee; śhraddhayā—with faith; architum—to worship; ichchhati—desires; tasya tasya—to him; achalām—steady; śhraddhām—faith; tām—in that; eva—certainly; vidadhāmi—bestow; aham—I#
BG 7.22#सः तया श्रद्धया युक्तः \nतस्य आराधनम् ईहते |\nलभते च ततः कामान् \nमया एव विहितान् हि तान् ||22||#sa tayā śhraddhayā yuktas tasyārādhanam īhate\nlabhate cha tataḥ kāmān mayaiva vihitān hi tān#Endowed with faith, the devotee worships a particular celestial god and obtains the objects of desire. But in reality, I alone arrange these benefits.#saḥ—he; tayā—with that; śhraddhayā—faith; yuktaḥ—endowed with; tasya—of that; ārādhanam—worship; īhate—tries to engage in; labhate—obtains; cha—and; tataḥ—from that; kāmān—desires; mayā—by me; eva—alone; vihitān—granted; hi—certainly; tān—those#
BG 7.23#अन्तवत् तु फलम् तेषाम् \nतत् भवति अल्प मेधसाम् |\nदेवान् देव यजः यान्ति \nमद् भक्ताः यान्ति माम् अपि ||23||#antavat tu phalaṁ teṣhāṁ tad bhavatyalpa-medhasām\ndevān deva-yajo yānti mad-bhaktā yānti mām api#But the fruit gained by these people of little understanding is perishable. Those who worship the celestial gods go to the celestial abodes, while My devotees come to Me.#anta-vat—perishable; tu—but; phalam—fruit; teṣhām—by them; tat—that; bhavati—is; alpa-medhasām—people of little understanding; devān—to the celestial gods; deva-yajaḥ—the worshipers of the celestial gods; yānti—go; mat—my; bhaktāḥ—devotees; yānti—go; mām—to me; api—whereas#
BG 7.24#अव्यक्तम् व्यक्तिम् आपन्नम् \nमन्यन्ते माम् अबुद्धयः |\nपरम् भावम् अजानन्तः \nमम अव्ययम् अनुत्तमम् ||24||#avyaktaṁ vyaktim āpannaṁ manyante mām abuddhayaḥ\nparaṁ bhāvam ajānanto mamāvyayam anuttamam#The less intelligent think that I, the Supreme Lord Shree Krishna, was formless earlier and have now assumed this personality. They do not understand the imperishable exalted nature of My personal form.#avyaktam—formless; vyaktim—possessing a personality; āpannam—to have assumed; manyante—think; mām—me; abuddhayaḥ—less intelligent; param—Supreme; bhāvam—nature; ajānantaḥ—not understanding; mama—my; avyayam—imperishable; anuttamam—excellent#
BG 7.25#न अहम् प्रकाशः सर्वस्य \nयोग माया समावृतः |\nमूढः अयम् न अभिजानाति \nलोकः माम् अजम् अव्ययम् ||25||#nāhaṁ prakāśhaḥ sarvasya yoga-māyā-samāvṛitaḥ\nmūḍho ’yaṁ nābhijānāti loko mām ajam avyayam#I am not manifest to everyone, being veiled by My divine Yogmaya energy. Hence, those without knowledge do not know that I am without birth and changeless.#na—not; aham—I; prakāśhaḥ—manifest; sarvasya—to everyone; yoga-māyā—God’s supreme (divine) energy; samāvṛitaḥ—veiled; mūḍhaḥ—deluded; ayam—these; na—not; abhijānāti—know; lokaḥ—persons; mām—me; ajam—unborn; avyayam—immutable#
